category,amt,gender,street,city,state,zip,city_pop,job,age,day_of_week,transaction_min,transaction_hour,transaction_date,transaction_month,transaction_distance,is_fraud
Food Dining,66.78,Female,5449 Brandi Heights Apt. 111,Tulsa,Oklahoma,74130,413574,Bookseller,51,Saturday,49,19,13,7,105.61304420924203,0
Shopping Pos,3.48,Female,742 Oneill Shore,Florence,Mississippi,39073,19685,Fine artist,35,Sunday,29,21,11,8,61.429616047857124,0
Home,64.95,Male,25713 Hamilton Grove Apt. 903,Beaverdam,Ohio,45808,349,Museum/gallery conservator,41,Thursday,38,12,14,11,81.25700316539996,0
Grocery Pos,116.45,Female,03368 Michelle Trail,Gregory,Arkansas,72059,37,"Lecturer, further education",61,Sunday,10,9,9,6,30.05322480492642,0
Personal Care,42.6,Male,646 Louis Fort Apt. 665,North Las Vegas,Nevada,89084,214518,Catering manager,59,Monday,32,20,2,12,57.787177263255785,0
Kids Pets,22.79,Male,857 Aaron Circles Suite 398,Johns Island,South Carolina,29455,20478,Materials engineer,22,Saturday,36,18,31,8,96.58379402893001,0
Grocery Net,18.86,Male,8614 Reed Glen,West Harrison,New York,10604,11250,Lexicographer,42,Sunday,36,3,1,9,50.29649467600411,0
Gas Transport,85.31,Female,128 Nathan Ramp,Barneveld,New York,13304,1684,IT trainer,25,Friday,29,5,20,12,83.51201907395395,0
Home,135.42,Female,019 Kimberly Light Apt. 039,Kings Bay,Georgia,31547,1293,Naval architect,56,Sunday,23,19,8,12,77.59142097411709,0
Personal Care,225.89,Female,43039 Riley Greens Suite 393,Orient,Washington,99160,149,Special educational needs teacher,41,Sunday,44,13,1,12,71.40391342528278,0
Shopping Net,140.15,Female,6760 Donovan Lakes,Clayton,Oklahoma,74536,1760,Occupational psychologist,48,Wednesday,17,21,1,4,91.11856766615033,0
Travel,2.0,Female,68276 Matthew Springs,Ratcliff,Texas,75858,43,"Engineer, production",70,Tuesday,18,13,22,10,62.70248004016869,0
Kids Pets,51.63,Male,7483 Navarro Flats,Freedom,Wyoming,83120,471,"Education officer, museum",53,Monday,19,12,27,1,90.65579630508113,0
Entertainment,73.57,Male,464 Newman Crossroad,Milwaukee,Wisconsin,53228,817312,"Accountant, chartered public finance",15,Monday,21,20,8,4,58.91132900446676,0
Gas Transport,54.97,Female,36659 Smith Club Apt. 080,Llano,New Mexico,87543,247,Architectural technologist,58,Saturday,5,5,5,1,21.980766720925395,0
Health Fitness,6.1,Female,1497 West Gateway,Eureka,Illinois,61530,6713,Archivist,74,Friday,1,15,7,6,100.33591147321486,0
Kids Pets,69.59,Female,872 Justin Views Suite 746,Duncan,Mississippi,38740,466,Trading standards officer,65,Monday,53,15,13,4,40.19848466837515,0
Gas Transport,57.87,Male,2989 Murray Inlet,Washington,District of Columbia,20017,601723,"Psychotherapist, child",28,Monday,27,9,19,8,77.82603829714718,0
Grocery Net,45.21,Male,1833 Jeanette Stravenue,Belgrade,Montana,59714,18182,"Engineer, drilling",44,Sunday,40,2,14,4,97.28453143965065,0
Travel,1.1,Female,08236 Kim Hill,Indianapolis,Indiana,46254,910148,Firefighter,44,Wednesday,21,18,20,11,89.68958698106243,0
Grocery Pos,81.57,Female,471 Marquez Prairie Suite 680,Matthews,Missouri,63867,1019,Aeronautical engineer,41,Saturday,59,7,2,5,29.948869620869218,0
Home,21.41,Female,67089 Caitlin Meadow Apt. 905,Sturgis,Mississippi,39769,1923,Medical physicist,60,Saturday,25,20,2,5,67.60733669403565,0
Kids Pets,167.48,Female,742 Oneill Shore,Florence,Mississippi,39073,19685,Fine artist,36,Saturday,29,12,22,2,34.48489070983681,0
Entertainment,76.28,Female,27479 Reeves Dale,Whaleyville,Maryland,21872,718,Regulatory affairs officer,34,Wednesday,16,18,24,7,105.73232212180645,0
Home,15.39,Female,1497 West Gateway,Eureka,Illinois,61530,6713,Archivist,74,Wednesday,54,17,9,1,54.726350330750186,0
Home,81.89,Male,555 Michael Burgs,Mayersville,Mississippi,39113,595,Technical brewer,40,Monday,51,12,28,10,118.48891478291112,0
Kids Pets,36.1,Female,2027 Snyder Track,Manville,Wyoming,82227,241,Educational psychologist,39,Wednesday,50,13,12,6,74.91367372635575,0
Grocery Pos,153.98,Female,68276 Matthew Springs,Ratcliff,Texas,75858,43,"Engineer, production",70,Thursday,59,5,14,11,121.73273364136864,0
Grocery Net,68.15,Male,8614 Reed Glen,West Harrison,New York,10604,11250,Lexicographer,42,Monday,24,10,4,2,86.31398808536771,0
Kids Pets,169.01,Female,87665 Karen Mill Apt. 586,Fort Myers,Florida,33967,224256,Paramedic,34,Friday,35,20,27,12,29.270896339478156,0
Grocery Pos,92.79,Male,622 Bradley Knoll Apt. 758,Hancock,Maryland,21750,3766,Press photographer,35,Monday,45,5,11,11,39.17258799617005,0
Shopping Net,5.74,Female,2870 Bean Terrace Apt. 756,Thomas,West Virginia,26292,836,Forensic psychologist,38,Sunday,56,16,11,8,131.99398043543127,0
Grocery Pos,89.81,Female,7178 Willis Drive,Hooper,Nebraska,68031,1745,"Engineer, automotive",47,Saturday,19,9,23,5,83.26294600251278,0
Personal Care,3.21,Female,9345 Spencer Junctions Suite 183,Alpharetta,Georgia,30009,165556,Prison officer,23,Thursday,52,23,16,1,92.94769400511983,0
Gas Transport,78.34,Male,490 Baldwin Alley Apt. 468,Crownpoint,New Mexico,87313,5662,IT consultant,30,Sunday,34,6,23,6,77.36687990771406,0
Home,7.71,Female,098 Stewart Hill,Slayden,Tennessee,37165,70,Prison officer,63,Friday,12,18,30,8,51.778565862693334,0
Shopping Pos,206.74,Female,1943 Dennis Inlet Suite 145,Hurricane,West Virginia,25526,21902,Sub,39,Monday,17,13,10,6,23.792382497679228,0
Personal Care,5.71,Male,854 Walker Dale Suite 488,Bowdoin,Maine,4287,3224,"Engineer, electronics",22,Saturday,33,13,6,7,22.329827949358176,0
Health Fitness,5.35,Female,658 Diane Glen Apt. 677,North Washington,Pennsylvania,16048,139,Patent attorney,65,Wednesday,21,17,18,12,114.09264470652091,0
Shopping Pos,5.34,Female,2918 David Spurs,Georgetown,Minnesota,56546,346,"Research officer, trade union",43,Wednesday,21,18,9,10,17.633986995698987,0
Kids Pets,42.28,Female,77944 Daniels Valley Suite 921,Camden,New York,13316,6460,Building control surveyor,60,Monday,43,19,22,4,25.193431344194956,0
Grocery Pos,48.6,Male,830 Myers Plaza Apt. 384,Edmond,Oklahoma,73034,116001,Media buyer,26,Monday,15,4,28,1,99.50574799332635,0
Shopping Pos,1.35,Male,7188 Melissa Crest Apt. 151,New Holstein,Wisconsin,53061,5196,Child psychotherapist,41,Sunday,14,23,19,5,91.7069617728721,0
Shopping Pos,143.27,Male,624 Hale Springs Apt. 572,Meadville,Missouri,64659,964,Tourist information centre manager,45,Sunday,37,13,7,4,84.91187108591095,0
Food Dining,10.35,Female,611 Michael Rue,Cisco,Illinois,61830,478,Landscape architect,60,Monday,48,15,17,2,132.38456654763962,0
Gas Transport,42.57,Male,977 Rita Grove Apt. 000,Rock Tavern,New York,12575,2258,Building surveyor,82,Friday,55,11,15,2,63.69951917910455,0
Home,83.71,Male,7915 Dawn Roads Apt. 544,Shelter Island,New York,11964,1858,Clinical biochemist,36,Tuesday,20,21,2,6,86.59837034925205,0
Grocery Pos,117.66,Female,58761 Brewer Rapids,Skytop,Pennsylvania,18357,104,Financial trader,92,Wednesday,6,7,27,3,118.81430693985746,0
Misc Pos,1.37,Female,58761 Brewer Rapids,Skytop,Pennsylvania,18357,104,Financial trader,93,Tuesday,13,1,12,5,37.5960587248443,0
Home,20.53,Female,13776 Hicks Plains,Pomona,New York,10970,9993,Pensions consultant,58,Saturday,48,13,14,3,65.87413713974809,0
Gas Transport,64.17,Female,27479 Reeves Dale,Whaleyville,Maryland,21872,718,Regulatory affairs officer,35,Saturday,50,6,21,3,41.710606840716345,0
Grocery Pos,42.36,Male,8957 Russell Key,Grant,Alabama,35747,5901,Curator,48,Friday,24,6,19,6,70.3391522527868,0
Gas Transport,74.04,Male,672 Randall Burg Suite 551,Belmont,New Hampshire,3220,7430,"Scientist, research (medical)",64,Tuesday,4,1,21,5,59.068309137243745,0
Shopping Pos,93.48,Female,19838 Tonya Prairie Apt. 947,Rocky Mount,Missouri,65072,1847,Tax inspector,31,Sunday,26,13,27,1,110.33393296701074,0
Shopping Net,8.85,Male,3283 James Station,Fayetteville,North Carolina,28314,238602,"Scientist, research (maths)",26,Sunday,2,13,16,6,59.34518910723018,0
Entertainment,38.46,Male,9579 Porter Tunnel,Wauchula,Florida,33873,14742,Teaching laboratory technician,27,Thursday,2,20,16,1,92.89071347862753,0
Misc Net,8.03,Female,471 Marquez Prairie Suite 680,Matthews,Missouri,63867,1019,Aeronautical engineer,40,Friday,37,9,6,12,74.36078707298894,0
Shopping Pos,53.47,Female,47029 Jimmy Tunnel Apt. 106,Newhall,California,91321,34882,Health physicist,48,Monday,36,23,14,10,76.38907337406012,0
Shopping Pos,1.08,Male,242 Brian Mountain,Laredo,Texas,78040,248858,Video editor,48,Sunday,29,18,29,12,44.36610363312065,0
Misc Pos,61.8,Female,9471 Wong Islands,Mansfield,Ohio,44902,92985,Press photographer,51,Sunday,47,10,30,6,101.67491365886596,0
Travel,6.12,Female,4664 Sanchez Common Suite 930,Bradley,South Carolina,29819,1523,Research scientist (physical sciences),36,Saturday,47,16,22,2,27.51246790536227,0
Shopping Net,6.98,Male,4005 Dana Glens,Methuen,Massachusetts,1844,47249,Market researcher,40,Tuesday,12,16,5,5,63.48688109374382,0
Home,9.37,Female,47152 Clayton Burg,Manchester,Maryland,21102,11751,Clinical research associate,55,Monday,6,21,24,6,29.36618683765514,0
Food Dining,78.97,Female,1535 Ryan Burgs Suite 919,Des Moines,Iowa,50312,222785,Wellsite geologist,63,Monday,24,9,23,9,90.70520116482724,0
Grocery Net,20.68,Male,8030 Beck Motorway,Moorhead,Mississippi,38761,2870,Chartered public finance accountant,20,Wednesday,47,0,14,8,104.60155351468178,0
Food Dining,16.64,Male,9670 Monroe Junctions,Rockwood,Pennsylvania,15557,3684,General practice doctor,44,Saturday,15,20,4,4,127.7681791947513,0
Misc Net,51.64,Female,0688 Kevin Manor,Clarksville,Missouri,63336,1146,Exercise physiologist,90,Sunday,58,6,23,6,104.1801823247425,0
Misc Net,120.16,Male,622 Robert Summit,Akron,Ohio,44307,272134,Call centre manager,55,Sunday,51,2,22,9,100.75533656320549,0
Misc Pos,6.65,Male,200 Christie Mills Apt. 307,Andrews,North Carolina,28901,5354,Retail buyer,54,Saturday,30,1,7,9,46.24373675297669,0
Grocery Pos,201.25,Female,03030 White Lakes,Grandview,Texas,76050,5875,"Radiographer, therapeutic",27,Monday,38,11,29,7,74.27325880213755,0
Misc Net,185.07,Female,4293 Ramirez Squares,Ranier,Minnesota,56668,136,Ceramics designer,19,Wednesday,6,12,20,3,56.34009981973451,0
Shopping Pos,109.92,Female,36659 Smith Club Apt. 080,Llano,New Mexico,87543,247,Architectural technologist,59,Saturday,52,6,18,1,42.33831224969001,0
Grocery Pos,118.8,Female,67089 Caitlin Meadow Apt. 905,Sturgis,Mississippi,39769,1923,Medical physicist,59,Thursday,56,2,19,12,43.183832829363354,0
Misc Pos,1.94,Female,35440 Ryan Islands,North Prairie,Wisconsin,53153,2328,Applications developer,77,Friday,14,10,15,3,75.44319634301051,0
Misc Net,2.93,Female,350 Stacy Glens,Spencer,South Dakota,57374,343,"Development worker, international aid",47,Sunday,20,3,8,12,33.99985036918607,0
Gas Transport,68.24,Male,0110 Ashley Forest,Tekoa,Washington,99033,895,Clothing/textile technologist,20,Thursday,51,7,29,8,120.19001510429722,0
Gas Transport,63.38,Male,715 Courtney Pike Suite 932,Keller,Texas,76248,95035,Probation officer,32,Wednesday,5,4,25,9,68.5154831342142,0
Food Dining,6.25,Male,27203 Darrell Landing,Saint James City,Florida,33956,3776,Sport and exercise psychologist,43,Tuesday,56,14,21,5,116.3464823159163,0
Shopping Net,1.91,Male,8957 Russell Key,Grant,Alabama,35747,5901,Curator,48,Thursday,44,20,9,1,73.13682167466499,0
Home,12.62,Male,609 Hunt Grove,Saint Francis,Kentucky,40062,301,"Research officer, political party",52,Friday,0,23,21,6,76.4523879076507,0
Gas Transport,94.27,Female,9471 Wong Islands,Mansfield,Ohio,44902,92985,Press photographer,51,Friday,37,7,20,9,101.28022428348397,0
Home,57.65,Female,1976 Tyler Underpass,Early,Iowa,50535,885,"Pilot, airline",71,Saturday,23,19,28,3,57.18072147515888,0
Grocery Pos,110.58,Male,109 Brian Lights Apt. 504,Shippingport,Pennsylvania,15077,198,Secretary/administrator,41,Monday,30,10,4,3,52.36654627506225,0
Entertainment,4.8,Female,425 Caleb Point Apt. 050,San Diego,California,92128,1241364,"Pharmacist, hospital",59,Friday,25,9,6,12,42.41758247430715,0
Home,12.39,Female,9886 Anita Drive,Fort Washakie,Wyoming,82514,1645,Information systems manager,33,Sunday,26,14,17,2,38.44113743470797,0
Shopping Pos,5.3,Female,9853 Flynn Hollow Apt. 602,Reynolds,North Dakota,58275,733,Visual merchandiser,25,Wednesday,11,18,6,2,107.71596828577933,0
Shopping Net,7.39,Female,08056 Alvarado Club Suite 699,Phoenix,Arizona,85086,1312922,Counselling psychologist,21,Monday,53,14,13,1,102.83466496861172,0
Personal Care,5.44,Female,670 Le Meadows Suite 250,Lakeland,Florida,33811,237282,Clothing/textile technologist,40,Wednesday,9,23,10,7,44.06495206707013,0
Shopping Pos,3.01,Male,493 Fitzgerald Fields Suite 454,Varnell,Georgia,30756,74,Pensions consultant,75,Monday,18,7,28,10,30.73171616004457,0
Misc Net,29.15,Female,382 Williams Stream Suite 197,Scotland,Maryland,20687,313,Insurance underwriter,44,Sunday,40,4,22,3,111.47361267889012,0
Gas Transport,77.01,Female,5449 Brandi Heights Apt. 111,Tulsa,Oklahoma,74130,413574,Bookseller,51,Monday,43,6,23,12,83.51524954124908,0
Personal Care,38.93,Male,529 West Key,Spearsville,Louisiana,71277,1758,"Psychologist, forensic",62,Saturday,0,12,7,9,59.19600546861611,0
Home,19.49,Male,5930 Rebecca Bridge Apt. 444,Paint Rock,Alabama,35764,653,Paediatric nurse,53,Monday,13,22,25,11,69.9308709128602,0
Misc Net,5.89,Male,169 Shelia Knoll Suite 753,Zavalla,Texas,75980,2836,"Designer, jewellery",35,Saturday,53,0,7,3,85.35290459165965,0
Grocery Pos,114.3,Female,901 Todd Gardens Apt. 466,Mountain Center,California,92561,1661,"Therapist, music",31,Friday,29,7,29,3,95.374495253659,0
Kids Pets,53.0,Male,8850 Jessica Center,Atlantic,Virginia,23303,741,"Geologist, engineering",33,Tuesday,24,21,26,11,84.26757769696037,0
Misc Net,6.88,Male,478 Alexandria Mount,Bolton,North Carolina,28423,2290,"Engineer, biomedical",74,Sunday,54,0,2,6,122.01175577858979,0
Shopping Pos,6.88,Male,126 Underwood Drive,San Diego,California,92128,1241364,Chartered public finance accountant,60,Monday,44,8,9,12,86.40496608636634,0
Shopping Pos,1376.93,Female,07943 Davis River,Grimesland,North Carolina,27837,5903,Manufacturing systems engineer,27,Sunday,24,13,3,5,19.668152019369877,0
Grocery Pos,67.63,Male,169 Shelia Knoll Suite 753,Zavalla,Texas,75980,2836,"Designer, jewellery",34,Saturday,1,10,21,9,38.320461257647054,0
Entertainment,114.01,Female,3789 Mark Walks,Sunflower,Mississippi,38778,1686,"Education officer, community",33,Monday,34,15,26,8,26.37674593253395,0
Grocery Pos,92.06,Female,67632 Martin Gateway,Fordoche,Louisiana,70732,1178,Community education officer,69,Tuesday,8,3,14,1,130.8254592122839,0
Health Fitness,3.13,Male,7483 Navarro Flats,Freedom,Wyoming,83120,471,"Education officer, museum",52,Thursday,36,17,3,10,103.39708810596521,0
Gas Transport,34.88,Male,85344 Smith Gateway Apt. 280,Harrodsburg,Indiana,47434,76,Social researcher,65,Sunday,44,3,24,5,114.98480239185163,0
Food Dining,62.27,Female,330 Montoya Ramp,Washington,District of Columbia,20036,601723,Prison officer,34,Saturday,0,23,4,1,108.83755126264025,0
Health Fitness,164.86,Male,586 Thomas Cliffs,Oconto Falls,Wisconsin,54154,5548,Mining engineer,45,Friday,56,23,3,4,51.60590264494356,0
Gas Transport,71.77,Male,8925 Nicholas Points,Egan,Louisiana,70531,1261,Broadcast presenter,47,Wednesday,49,11,27,3,18.878189997415422,0
Kids Pets,65.94,Female,6911 Nicholas Keys Apt. 237,Armagh,Pennsylvania,15920,922,Early years teacher,47,Wednesday,21,12,13,2,122.05504432113571,0
Shopping Pos,120.19,Male,13956 Hughes Causeway Suite 124,Alder,Montana,59710,286,Chief of Staff,30,Tuesday,26,8,15,1,96.05115435135691,0
Home,68.93,Female,6602 Ortiz Pine Apt. 179,Blooming Grove,Texas,76626,1563,Financial adviser,41,Friday,21,22,29,11,46.027863561745455,0
Food Dining,57.19,Female,639 Cruz Islands,Baroda,Michigan,49101,3104,"Horticulturist, commercial",38,Thursday,40,20,25,4,72.58931388706414,0
Personal Care,7.89,Male,148 Baker Field,Chester Heights,Pennsylvania,19017,348,Management consultant,74,Monday,20,12,1,7,116.8309166718309,0
Misc Net,7.09,Male,821 Solis Points,Muskegon,Michigan,49440,128715,Historic buildings inspector/conservation officer,24,Tuesday,2,6,8,1,19.99981258829668,0
Health Fitness,47.53,Male,242 Brian Mountain,Laredo,Texas,78040,248858,Video editor,48,Thursday,21,16,19,12,104.73980079261727,0
Grocery Pos,129.51,Female,543 Ware Path Apt. 593,Utica,Missouri,64686,271,Land/geomatics surveyor,47,Friday,39,0,6,12,78.63759421730826,0
Entertainment,35.4,Female,372 Jeffrey Course,Sutherland,Nebraska,69165,1789,Insurance broker,38,Sunday,32,13,15,3,122.21786321270494,0
Misc Pos,1291.57,Male,7309 Sophia Causeway Suite 702,Sauk Rapids,Minnesota,56379,16163,Hydrographic surveyor,32,Saturday,28,21,30,11,80.92265300817415,0
Health Fitness,74.39,Male,078 Alex Fields,Smock,Pennsylvania,15480,1946,Charity fundraiser,29,Monday,33,15,13,5,89.55521153904502,0
Home,82.49,Female,1441 Bradley Place,Grover,North Carolina,28073,5621,Toxicologist,47,Saturday,18,19,30,5,89.07862027080542,0
Health Fitness,158.11,Female,6313 Scott Trace,Rossville,Illinois,60963,1807,"Buyer, retail",45,Thursday,35,17,13,2,123.25191726820549,0
Misc Pos,6.39,Female,250 Benjamin Hill Apt. 026,Mobile,Alabama,36617,270712,"Surveyor, land/geomatics",48,Friday,44,1,15,5,78.70608496012473,0
Entertainment,79.33,Female,23220 Eaton Harbors,Kirby,Ohio,43330,118,Private music teacher,62,Monday,10,16,25,11,49.857390723816415,0
Grocery Pos,116.79,Female,1683 Davidson Freeway,Mendon,Utah,84325,2078,"Scientist, audiological",56,Saturday,45,5,15,6,111.86935540538722,0
Gas Transport,64.59,Female,72030 Shelton Crossing Apt. 742,Stirling,New Jersey,7980,2307,Science writer,50,Saturday,55,8,16,2,25.052037790681663,0
Personal Care,18.65,Male,956 Sanchez Highway,Mallie,Kentucky,41836,798,Facilities manager,93,Thursday,20,15,20,6,107.92249313668354,0
Entertainment,101.16,Female,87665 Karen Mill Apt. 586,Fort Myers,Florida,33967,224256,Paramedic,34,Thursday,50,22,14,3,47.14068034259801,0
Health Fitness,33.16,Male,26975 Richardson Mills Apt. 402,Sontag,Mississippi,39665,1196,"Librarian, academic",62,Thursday,4,22,28,5,49.82427949157973,0
Grocery Net,52.58,Male,61107 Edwards Dam Apt. 463,Big Creek,Kentucky,40914,467,"Psychologist, forensic",35,Thursday,19,4,19,12,84.06591613513856,0
Misc Pos,2.24,Female,519 Jerry Views,Avoca,Iowa,51521,2036,Engineering geologist,48,Saturday,56,20,21,12,31.23593404943797,0
Entertainment,60.74,Male,135 Joseph Mountains,Sula,Montana,59871,218,"Therapist, horticultural",25,Saturday,45,19,25,1,1.3183378071338465,0
Kids Pets,154.15,Female,58188 Madison Meadow Apt. 949,Cowlesville,New York,14037,1166,Colour technologist,36,Monday,17,23,4,11,98.66035207025122,0
Personal Care,24.76,Female,292 Lowe Dam Suite 858,West Palm Beach,Florida,33417,459921,Historic buildings inspector/conservation officer,59,Monday,52,16,7,1,81.27921417503975,0
Home,53.71,Female,516 Brown Parks,Manistique,Michigan,49854,6469,Trade mark attorney,40,Sunday,36,16,6,1,51.47994098033298,0
Misc Net,89.34,Female,561 Perry Cove,Moravian Falls,North Carolina,28654,3495,"Psychologist, counselling",31,Saturday,29,0,14,12,58.09000545174373,0
Gas Transport,53.81,Male,28711 Kristine Junction Suite 309,Greenville,Ohio,45331,22930,Media planner,48,Sunday,3,2,30,6,77.68136512603418,0
Home,47.1,Female,597 Jenny Ford Apt. 543,Tupper Lake,New York,12986,6120,Chartered loss adjuster,43,Wednesday,18,20,31,7,119.157607994003,0
Kids Pets,60.01,Male,27386 Snyder Station,Oxford,Michigan,48371,24840,Agricultural consultant,60,Saturday,58,13,18,4,48.74521286065833,0
Home,27.23,Male,663 Ramirez Trace Apt. 951,Huntsville,Alabama,35811,190178,Television production assistant,46,Thursday,22,21,7,3,41.210737048211065,0
Shopping Pos,4.23,Female,2027 Snyder Track,Manville,Wyoming,82227,241,Educational psychologist,39,Friday,30,12,1,11,96.13508443140354,0
Shopping Net,1.82,Female,56160 Nicholas Isle,Norwich,Ohio,43767,1443,Research scientist (medical),58,Wednesday,49,0,18,3,115.13991529809915,0
Health Fitness,4.06,Female,611 Michael Rue,Cisco,Illinois,61830,478,Landscape architect,59,Wednesday,27,18,17,7,71.49420428488841,0
Shopping Net,51.34,Female,6343 Ramirez Skyway Apt. 518,Lakeport,California,95453,11256,Podiatrist,47,Saturday,48,14,1,6,101.39922568956618,0
Gas Transport,40.15,Female,58665 Nicholas Ford Suite 348,Sheffield,Massachusetts,1257,2121,Radio producer,46,Sunday,49,11,23,6,117.5457907287263,0
Kids Pets,132.1,Male,81261 Garcia Underpass Suite 741,Southfield,Michigan,48034,75830,"Engineer, automotive",45,Tuesday,9,19,29,1,58.33110571549535,0
Home,63.36,Male,8850 Jessica Center,Atlantic,Virginia,23303,741,"Geologist, engineering",34,Monday,53,19,8,6,35.27600030776506,0
Grocery Net,21.44,Male,61390 Hayes Port,Romulus,Michigan,48174,31515,Police officer,48,Sunday,44,2,1,9,113.15670170030296,0
Kids Pets,1.05,Female,9016 Jordan Bypass Apt. 516,Cranks,Kentucky,40820,581,"Psychologist, counselling",52,Saturday,11,14,6,7,135.40951200540746,0
Health Fitness,82.29,Female,43039 Riley Greens Suite 393,Orient,Washington,99160,149,Special educational needs teacher,41,Monday,18,19,23,12,108.51417249667966,0
Health Fitness,38.99,Female,622 Robin Run Suite 764,Gadsden,Alabama,35901,67082,Physiological scientist,56,Wednesday,45,23,4,9,64.78947668857104,0
Health Fitness,100.37,Male,558 Michael Estates,Luray,Missouri,63453,519,Town planner,53,Tuesday,1,15,13,8,100.22229531392227,0
Kids Pets,63.26,Female,3522 Park Wells Suite 528,Cleveland,Texas,77327,34153,Building surveyor,24,Tuesday,54,19,10,12,107.23916939725044,0
Grocery Pos,137.44,Female,4970 Michelle Burgs,Brooklyn,New York,11217,2504700,Medical sales representative,21,Tuesday,31,12,14,1,104.71132009514228,0
Entertainment,76.99,Female,030 Seth Divide Suite 355,Tulsa,Oklahoma,74131,413574,"Teacher, special educational needs",48,Wednesday,13,13,25,12,28.65524819976922,0
Shopping Net,7.21,Male,46809 Toni Flat Suite 216,Lamy,New Mexico,87540,923,Public relations account executive,55,Sunday,21,10,25,8,71.86527541279466,0
Misc Pos,5.68,Female,20581 Pena Walks,Colorado Springs,Colorado,80951,525713,Museum/gallery exhibitions officer,27,Monday,33,10,24,6,50.29475114946905,0
Kids Pets,9.13,Female,9486 Joel Common Suite 554,Topeka,Kansas,66618,163415,Secondary school teacher,15,Tuesday,44,21,6,8,62.201971228647594,0
Misc Pos,52.99,Female,6983 Carrillo Isle,Edisto Island,South Carolina,29438,2408,"Sales professional, IT",22,Thursday,13,17,10,1,60.852737076769,0
Misc Net,3.59,Female,03030 White Lakes,Grandview,Texas,76050,5875,"Radiographer, therapeutic",27,Sunday,11,10,16,6,47.980540554501054,0
Entertainment,6.18,Female,7921 Robert Port Suite 343,Prairie Hill,Texas,76678,263,Barrister,63,Saturday,22,17,20,7,93.07407153927625,0
Food Dining,14.25,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,31,Tuesday,45,14,3,12,78.06211183092836,0
Grocery Pos,145.24,Male,1250 Christopher Prairie Suite 016,Port Costa,California,94569,198,Armed forces training and education officer,60,Saturday,16,11,28,12,72.81737619473513,0
Grocery Pos,132.55,Male,3326 Hannah Fords,Cord,Arkansas,72524,376,"Designer, ceramics/pottery",81,Sunday,45,7,9,6,59.588645603452605,0
Kids Pets,48.46,Female,257 Victor Stravenue,Hampton,Virginia,23666,136895,Accounting technician,80,Sunday,19,22,15,12,118.46193980796055,0
Misc Net,315.14,Male,1632 Cohen Drive Suite 639,High Rolls Mountain Park,New Mexico,88325,899,Naval architect,52,Thursday,7,1,11,7,69.32191264571084,0
Misc Net,54.33,Male,3277 Fields Meadows Apt. 790,Greenview,California,96037,308,Call centre manager,61,Friday,27,5,28,6,60.8015095775238,0
Health Fitness,67.2,Female,13299 Patrick Terrace,Rhame,North Dakota,58651,475,Illustrator,64,Friday,24,20,30,8,35.10772182334603,0
Misc Pos,9.44,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,31,Monday,32,17,26,8,92.5363986139307,0
Shopping Pos,2.53,Male,8840 Miller Port Suite 645,Indian Wells,California,92210,4677,Learning mentor,64,Saturday,52,5,2,2,117.11049147639353,0
Health Fitness,11.56,Male,87227 Tapia Burgs,Auburn,Maine,4210,23045,Tourist information centre manager,61,Friday,16,20,30,8,75.34694639694341,0
Grocery Pos,66.31,Male,3539 Mckenzie Stream,Fairview,New Jersey,7022,13835,"Programmer, multimedia",52,Saturday,24,0,14,12,69.9153641346824,0
Shopping Pos,128.89,Male,30587 Fox Shores Apt. 627,Fenelton,Pennsylvania,16034,2054,Communications engineer,43,Friday,46,23,29,11,98.16105875253764,0
Misc Net,6.04,Male,70858 Jasmine Meadows Apt. 135,Lima,Ohio,45801,86954,"Copywriter, advertising",27,Friday,13,5,29,3,99.77487250548555,0
Misc Net,248.2,Female,57256 Raymond Ports,Knoxville,Tennessee,37932,391389,"Designer, industrial/product",25,Tuesday,36,7,24,9,64.74835469116421,0
Home,85.48,Male,06539 Gregory Mountains Suite 029,Parker Dam,California,92267,126,Marketing executive,28,Saturday,20,23,11,4,79.03437265395934,0
Personal Care,40.06,Male,7188 Melissa Crest Apt. 151,New Holstein,Wisconsin,53061,5196,Child psychotherapist,42,Thursday,37,15,16,4,111.92330980994859,0
Entertainment,98.85,Female,285 George Lake,Beaver Falls,Pennsylvania,15010,28425,Podiatrist,19,Sunday,36,12,24,11,75.38023701121931,0
Food Dining,19.96,Male,06959 Stephen Branch Suite 246,Thida,Arkansas,72165,111,Careers information officer,20,Tuesday,0,17,19,5,98.42040311212774,0
Kids Pets,35.06,Female,2807 Parker Station Suite 080,Stanchfield,Minnesota,55080,2607,"Lecturer, further education",25,Monday,7,16,23,3,72.27183339470183,0
Shopping Pos,34.42,Female,7177 Steven Forges,Sixes,Oregon,97476,217,Retail merchandiser,91,Monday,3,11,28,10,101.7632296051048,0
Misc Pos,140.93,Female,3379 Williams Common,Littleton,Colorado,80120,320420,Water engineer,44,Sunday,33,7,8,12,93.19147570413402,0
Gas Transport,62.13,Male,9579 Porter Tunnel,Wauchula,Florida,33873,14742,Teaching laboratory technician,27,Monday,12,8,1,6,119.47771183087981,0
Health Fitness,2.76,Female,77944 Daniels Valley Suite 921,Camden,New York,13316,6460,Building control surveyor,60,Sunday,19,19,24,3,70.09821144408942,0
